Isolate,Country,Year of Isolation,Pathotype,MLST ,Clone Cluster,Cluster (RAMI),LEE Insertion Site,LEE subtype,Accession
500193,India,2008,aEPEC,NF,CG517,cluster_35,selC,18,ERS139263
500197,India,2008,aEPEC,517,CG517,cluster_5,selC,22,ERS085428
500275,India,2008,aEPEC,2144,cluster_70,cluster_70,CQ,CQ,ERS085360
500407,India,2008,aEPEC,328,CG328,cluster_3,pheV,8,ERS139271
500618,India,2008,aEPEC,335,CG335,cluster_21,selC,10,ERS085361
500830,India,2008,aEPEC,382,cluster_2,cluster_2,selC,15,ERS150873
500858,India,2008,aEPEC,443,cluster_10,cluster_10,selC,18,ERS085362
500864,India,2008,aEPEC,517,CG517,cluster_5,selC,22,ERS085363
500989,India,2008,aEPEC,2089,cluster_16,cluster_16,selC,9,ERS139214
501016,India,2009,aEPEC,378,CG378,cluster_20,pheU,1,ERS139245
501029,India,2009,aEPEC,NF,CG328,cluster_3,pheV,8,ERS085364
503023,India,2009,aEPEC,378,CG378,cluster_20,pheU,1,ERS139246
503028,India,2009,aEPEC,301,CG301,cluster_1,pheU,2,ERS085365
503130,India,2009,aEPEC,328,CG328,cluster_3,pheV,8,ERS085429
503225,India,2009,aEPEC,4424,cluster_64,cluster_64,pheU,4,ERS085366
503238,India,2009,aEPEC,517,CG517,cluster_5,selC,22,ERS085401
503256,India,2009,aEPEC,NF,CG517,cluster_35,selC,18,ERS139247
503311,India,2009,GEMStEPEC,3*,CG3,cluster_4,pheV,8,ERS085430
503320,India,2009,aEPEC,443,cluster_10,cluster_10,CQ,CQ,ERS139269
503331,India,2009,aEPEC,29,CG29,cluster_7,CQ,CQ,ERS139215
503459,India,2009,aEPEC,443,cluster_10,cluster_10,selC,18,ERS085367
503537,India,2009,aEPEC,382,cluster_2,cluster_2,selC,15,ERS085440
503662,India,2009,aEPEC,517,CG517,cluster_5,selC,22,ERS085368
503854,India,2009,aEPEC,517,CG517,cluster_5,selC,22,ERS139274
503891,India,2009,aEPEC,378,CG378,cluster_20,pheU,1,ERS085402
503947,India,2009,aEPEC,29,CG29,cluster_7,pheV,11,ERS085431
503969,India,2009,aEPEC,378,CG378,cluster_20,pheU,1,ERS150874
504005,India,2009,aEPEC,NF,CG517,cluster_35,selC,18,ERS085403
504180,India,2009,aEPEC,29,CG29,cluster_7,pheV,11,ERS139216
504225,India,2010,aEPEC,803,cluster_47,cluster_47,CQ,CQ,ERS085369
504300,India,2010,aEPEC,328,CG328,cluster_3,pheV,8,ERS085370
504324,India,2009,aEPEC,328,CG328,cluster_3,pheV,8,ERS139217
504449,India,2010,GEMStEPEC,3,CG3,cluster_4,pheV,8,ERS085371
504528,India,2009,aEPEC,NF,CG517,cluster_35,selC,18,ERS139218
504540,India,2009,aEPEC,NF,CG517,cluster_35,selC,18,ERS139272
504647,India,2010,aEPEC,443,cluster_10,cluster_10,selC,18,ERS085372
504718,India,2010,aEPEC,3,CG3,cluster_4,pheV,8,ERS139219
504821,India,2010,aEPEC,517,CG517,cluster_5,selC,22,ERS085373
504888,India,2010,aEPEC,443,cluster_10,cluster_10,selC,18,ERS085374
504925,India,2010,GEMStEPEC,3,CG3,cluster_4,pheV,8,ERS085441
505148,India,2010,aEPEC,121*,CG121,cluster_26,selC,30,ERS139220
505393,India,2010,aEPEC,10*,CG10,cluster_14,pheV,12,ERS085432
505513,India,2010,aEPEC,29,CG29,cluster_7,CQ,CQ,ERS085433
505545,India,2010,aEPEC,328,CG328,cluster_3,pheV,8,ERS139221
602206,Bangladesh,2009,aEPEC,517,CG517,cluster_5,selC,22,ERS139222
602370,Bangladesh,2009,aEPEC,10,CG10,cluster_14,CQ,CQ,ERS085375
603423,Bangladesh,2010,aEPEC,301,CG301,cluster_1,pheU,2,ERS139278
700149,Pakistan,2008,aEPEC,NF,CG29,cluster_7,CQ,CQ,ERS139264
700337,Pakistan,2008,GEMStEPEC,10,CG10,cluster_14,CQ,CQ,ERS085376
700495,Pakistan,2008,GEMStEPEC,3,CG3,cluster_4,pheV,8,ERS085377
700851,Pakistan,2008,aEPEC,378,CG378,cluster_20,pheU,1,ERS139223
700863,Pakistan,2008,aEPEC,517,CG517,cluster_5,selC,22,ERS139265
702161,Pakistan,2009,GEMStEPEC,3,CG3,cluster_4,pheV,8,ERS085379
702328,Pakistan,2009,aEPEC,40,CG40,cluster_27,pheV,8,ERS139224
702566,Pakistan,2009,aEPEC,328,CG328,cluster_3,pheV,8,ERS139225
702745,Pakistan,2009,aEPEC,335,CG335,cluster_21,selC,10,ERS085404
702791,Pakistan,2009,aEPEC,NF,CG517,cluster_35,selC,18,ERS139235
702797,Pakistan,2009,aEPEC,3,CG3,cluster_4,pheV,8,ERS139236
702890,Pakistan,2009,aEPEC,381,cluster_24,cluster_24,selC,21,ERS085405
