"Sample name","Sample accession","Lane name","Lane accession"
2796STDY5612491,ERS358269,11657_7#95,ERR434545
2796STDY5612492,ERS358270,11657_7#96,ERR434546
2796STDY5610959,ERS356789,11658_3#1,ERR434547
2796STDY5611105,ERS356933,11658_3#2,ERR434548
2796STDY5611106,ERS356934,11658_3#3,ERR434549
2796STDY5611119,ERS356947,11658_3#4,ERR434550
2796STDY5611122,ERS356949,11658_3#5,ERR434551
2796STDY5611151,ERS356978,11658_3#6,ERR434552
2796STDY5611155,ERS356982,11658_3#7,ERR434553
2796STDY5611159,ERS356986,11658_3#8,ERR434554
2796STDY5611166,ERS356993,11658_3#9,ERR434555
2796STDY5611169,ERS356996,11658_3#10,ERR434556
2796STDY5611180,ERS357007,11658_3#11,ERR434557
2796STDY5611181,ERS357008,11658_3#12,ERR434558
2796STDY5611200,ERS357026,11658_3#13,ERR434559
2796STDY5611314,ERS357130,11658_3#14,ERR434560
2796STDY5611344,ERS357160,11658_3#19,ERR434565
2796STDY5611350,ERS357166,11658_3#20,ERR434566
2796STDY5611351,ERS357167,11658_3#21,ERR434567
2796STDY5611370,ERS357186,11658_3#22,ERR434568
2796STDY5611376,ERS357192,11658_3#23,ERR434569
2796STDY5611378,ERS357194,11658_3#24,ERR434570
2796STDY5611495,ERS357304,11658_3#25,ERR434571
2796STDY5611498,ERS357307,11658_3#26,ERR434572
2796STDY5611502,ERS357311,11658_3#27,ERR434573
2796STDY5611508,ERS357317,11658_3#28,ERR434574
2796STDY5611524,ERS357333,11658_3#29,ERR434575
2796STDY5611531,ERS357340,11658_3#30,ERR434576
2796STDY5611556,ERS357365,11658_3#31,ERR434577
2796STDY5611720,ERS357521,11658_3#32,ERR434578
2796STDY5611721,ERS357522,11658_3#33,ERR434579
2796STDY5611764,ERS357565,11658_3#34,ERR434580
2796STDY5611787,ERS357587,11658_3#35,ERR434581
2796STDY5611788,ERS357588,11658_3#36,ERR434582
2796STDY5611816,ERS357616,11658_3#37,ERR434583
2796STDY5611825,ERS357625,11658_3#38,ERR434584
2796STDY5611836,ERS357636,11658_3#39,ERR434585
2796STDY5611861,ERS357661,11658_3#40,ERR434586
2796STDY5611891,ERS357688,11658_3#41,ERR434587
2796STDY5611896,ERS357693,11658_3#42,ERR434588
2796STDY5611922,ERS357719,11658_3#43,ERR434589
2796STDY5611941,ERS357738,11658_3#44,ERR434590
2796STDY5611947,ERS357744,11658_3#45,ERR434591
2796STDY5611972,ERS357766,11658_3#46,ERR434592
2796STDY5611976,ERS357770,11658_3#47,ERR434593
2796STDY5611990,ERS357783,11658_3#48,ERR434594
2796STDY5611991,ERS357784,11658_3#49,ERR434595
2796STDY5611994,ERS357787,11658_3#50,ERR434596
2796STDY5611997,ERS357790,11658_3#51,ERR434597
2796STDY5612000,ERS357793,11658_3#52,ERR434598
2796STDY5612020,ERS357813,11658_3#53,ERR434599
2796STDY5612037,ERS357829,11658_3#54,ERR434600
2796STDY5612039,ERS357831,11658_3#55,ERR434601
2796STDY5612040,ERS357832,11658_3#56,ERR434602
2796STDY5612051,ERS357841,11658_3#57,ERR434603
2796STDY5612067,ERS357851,11658_3#58,ERR434604
2796STDY5612074,ERS357858,11658_3#59,ERR434605
2796STDY5612083,ERS357867,11658_3#60,ERR434606
2796STDY5612098,ERS357882,11658_3#61,ERR434607
2796STDY5612105,ERS357889,11658_3#62,ERR434608
2796STDY5612110,ERS357894,11658_3#64,ERR434610
2796STDY5612115,ERS357899,11658_3#65,ERR434611
2796STDY5612162,ERS357945,11658_3#66,ERR434612
2796STDY5612165,ERS357948,11658_3#67,ERR434613
2796STDY5612175,ERS357958,11658_3#68,ERR434614
2796STDY5612179,ERS357962,11658_3#69,ERR434615
2796STDY5612193,ERS357976,11658_3#70,ERR434616
2796STDY5612200,ERS357983,11658_3#71,ERR434617
2796STDY5612211,ERS357994,11658_3#72,ERR434618
2796STDY5612224,ERS358007,11658_3#73,ERR434619
2796STDY5612227,ERS358010,11658_3#74,ERR434620
2796STDY5612260,ERS358042,11658_3#75,ERR434621
2796STDY5612262,ERS358044,11658_3#76,ERR434622
2796STDY5612278,ERS358060,11658_3#77,ERR434623
2796STDY5612281,ERS358063,11658_3#78,ERR434624
2796STDY5612284,ERS358066,11658_3#79,ERR434625
2796STDY5612294,ERS358076,11658_3#80,ERR434626
2796STDY5612301,ERS358083,11658_3#81,ERR434627
2796STDY5612306,ERS358088,11658_3#82,ERR434628
2796STDY5612315,ERS358097,11658_3#83,ERR434629
2796STDY5612320,ERS358102,11658_3#84,ERR434630
2796STDY5612342,ERS358124,11658_3#85,ERR434631
2796STDY5612356,ERS358137,11658_3#86,ERR434632
2796STDY5612366,ERS358147,11658_3#87,ERR434633
2796STDY5612390,ERS358171,11658_3#88,ERR434634
2796STDY5612427,ERS358208,11658_3#89,ERR434635
2796STDY5612431,ERS358212,11658_3#90,ERR434636
2796STDY5612432,ERS358213,11658_3#91,ERR434637
2796STDY5612448,ERS358228,11658_3#92,ERR434638
2796STDY5612474,ERS358254,11658_3#93,ERR434639
2796STDY5612475,ERS358255,11658_3#94,ERR434640
2796STDY5612478,ERS358258,11658_3#95,ERR434641
2796STDY5612489,ERS358267,11658_3#96,ERR434642
2796STDY5610910,ERS356740,11658_4#1,ERR434643
2796STDY5610912,ERS356742,11658_4#2,ERR434644
2796STDY5610917,ERS356747,11658_4#3,ERR434645
2796STDY5610935,ERS356765,11658_4#4,ERR434646
2796STDY5610936,ERS356766,11658_4#5,ERR434647
2796STDY5610974,ERS356804,11658_4#6,ERR434648
2796STDY5610996,ERS356826,11658_4#7,ERR434649
2796STDY5611002,ERS356832,11658_4#8,ERR434650
2796STDY5611006,ERS356835,11658_4#9,ERR434651
2796STDY5611018,ERS356847,11658_4#10,ERR434652
2796STDY5611029,ERS356858,11658_4#11,ERR434653
2796STDY5611031,ERS356860,11658_4#12,ERR434654
2796STDY5611032,ERS356861,11658_4#13,ERR434655
2796STDY5611034,ERS356863,11658_4#14,ERR434656
2796STDY5611043,ERS356872,11658_4#15,ERR434657
2796STDY5611051,ERS356880,11658_4#16,ERR434658
2796STDY5611063,ERS356892,11658_4#17,ERR434659
2796STDY5611073,ERS356902,11658_4#18,ERR434660
2796STDY5611078,ERS356907,11658_4#19,ERR434661
2796STDY5611201,ERS357027,11658_4#20,ERR434662
2796STDY5611252,ERS357078,11658_4#21,ERR434663
2796STDY5611256,ERS357082,11658_4#22,ERR434664
2796STDY5611264,ERS357090,11658_4#23,ERR434665
2796STDY5611307,ERS357123,11658_4#24,ERR434666
2796STDY5611309,ERS357125,11658_4#25,ERR434667
2796STDY5611356,ERS357172,11658_4#26,ERR434668
2796STDY5611375,ERS357191,11658_4#27,ERR434669
2796STDY5611393,ERS357204,11658_4#28,ERR434670
2796STDY5611403,ERS357213,11658_4#29,ERR434671
2796STDY5611416,ERS357226,11658_4#30,ERR434672
2796STDY5611418,ERS357228,11658_4#31,ERR434673
2796STDY5611420,ERS357230,11658_4#32,ERR434674
2796STDY5611427,ERS357237,11658_4#33,ERR434675
2796STDY5611429,ERS357239,11658_4#34,ERR434676
2796STDY5611439,ERS357249,11658_4#35,ERR434677
2796STDY5611443,ERS357253,11658_4#36,ERR434678
2796STDY5611450,ERS357260,11658_4#37,ERR434679
2796STDY5611465,ERS357275,11658_4#38,ERR434680
2796STDY5611478,ERS357288,11658_4#39,ERR434681
2796STDY5611509,ERS357318,11658_4#40,ERR434682
2796STDY5611575,ERS357383,11658_4#41,ERR434683
2796STDY5611594,ERS357397,11658_4#42,ERR434684
2796STDY5611604,ERS357407,11658_4#43,ERR434685
2796STDY5611605,ERS357408,11658_4#44,ERR434686
2796STDY5611619,ERS357422,11658_4#45,ERR434687
2796STDY5611628,ERS357431,11658_4#46,ERR434688
2796STDY5611700,ERS357501,11658_4#47,ERR434689
2796STDY5611709,ERS357510,11658_4#48,ERR434690
