identifier,reads,source
esc_ca5208aa_as,SRR1981045,enterobase
esc_ga9194aa_as,SRR3578630,enterobase
esc_ca6319aa_as,SRR770132,enterobase
esc_ca6319aa_as,SRR784315,enterobase
esc_ca6319aa_as,SRR958311,enterobase
esc_ca6319aa_as,SRR958312,enterobase
esc_sa4745aa_as,SRR7265947,enterobase
esc_ja4543aa_as,SRR4787331,enterobase
esc_ba5104aa_as,SRR770119,enterobase
esc_ba5104aa_as,SRR786434,enterobase
esc_ba5104aa_as,SRR958291,enterobase
esc_ba5104aa_as,SRR958292,enterobase
esc_ga8824aa_as,SRR3574262,enterobase
esc_fa9652aa_as,SRR3091361,enterobase
esc_ia1185aa_as,SRR4180807,enterobase
esc_ja7959aa_as,SRR5017304,enterobase
esc_la1931aa_as,SRR5223018,enterobase
esc_fa8281aa_as,SRR2993335,enterobase
esc_ba9554aa_as,SRR850803,enterobase
esc_ba9554aa_as,SRR850804,enterobase
esc_ba9554aa_as,SRR867699,enterobase
esc_ba9554aa_as,SRR960873,enterobase
esc_qa2087aa_as,SRR6176956,enterobase
esc_ka4206aa_as,SRR5024262,enterobase
esc_ga9414aa_as,SRR3579302,enterobase
esc_na3124aa_as,SRR5494799,enterobase
esc_ga9160aa_as,SRR3578593,enterobase
esc_ga9080aa_as,SRR3578160,enterobase
esc_sa6540aa_as,SRR7358002,enterobase
esc_ka4234aa_as,SRR5023726,enterobase
esc_ja3884aa_as,SRR4897319,enterobase
esc_ja9458aa_as,SRR5024471,enterobase
esc_ja4777aa_as,SRR4788203,enterobase
esc_ba6745aa_as,SRR1981069,enterobase
esc_ga9077aa_as,SRR3578157,enterobase
esc_ia0353aa_as,SRR4054728,enterobase
esc_ja4800aa_as,SRR4788246,enterobase
esc_ja7519aa_as,SRR5005294,enterobase
esc_sa1349aa_as,SRR7163902,enterobase
esc_ja7652aa_as,SRR5005528,enterobase
esc_sa5711aa_as,SRR7285456,enterobase
esc_ja7650aa_as,SRR5005521,enterobase
esc_ha6173aa_as,SRR3883026,enterobase
esc_ja8669aa_as,SRR5023790,enterobase
esc_ja7958aa_as,SRR5017303,enterobase
esc_ca5810aa_as,SRR1981946,enterobase
esc_sa6936aa_as,SRR7401652,enterobase
esc_ja4487aa_as,SRR4787215,enterobase
esc_ra0770aa_as,SRR6337431,enterobase
esc_ba9361aa_as,SRR1981043,enterobase
esc_ha0204aa_as,SRR3657580,enterobase
esc_ja3790aa_as,SRR4897117,enterobase
esc_ha8658aa_as,SRR3989523,enterobase
esc_ka3947aa_as,SRR5018088,enterobase
esc_sa1560aa_as,SRR7172064,enterobase
esc_pa5120aa_as,SRR6051944,enterobase
esc_ka6862aa_as,SRR5034920,enterobase
esc_ra3571aa_as,SRR6490551,enterobase
esc_sa1938aa_as,SRR7184213,enterobase
esc_la5740aa_as,SRR5330852,enterobase
