"Sample name","Sample accession","Lane name","Lane accession"
3380STDY6001860,ERS576093,14937_7#14,ERR775981
3380STDY6001861,ERS576095,14937_7#15,ERR775982
3380STDY6001863,ERS576098,14937_7#16,ERR775983
3380STDY6001864,ERS576100,14937_7#17,ERR775984
3380STDY6001866,ERS576105,14937_7#18,ERR775985
3380STDY6001876,ERS576124,14937_7#19,ERR775986
3380STDY6001882,ERS576136,14937_7#20,ERR775987
3380STDY6001883,ERS576138,14937_7#21,ERR775988
3380STDY6001890,ERS576151,14937_7#22,ERR775989
3380STDY6001897,ERS576165,14937_7#23,ERR775990
3380STDY6002020,ERS576220,14937_7#28,ERR775995
3380STDY6002023,ERS576223,14937_7#29,ERR775996
3380STDY6002025,ERS576225,14937_7#30,ERR775997
3380STDY6002027,ERS576227,14937_7#31,ERR775998
3380STDY6002038,ERS576238,14937_7#32,ERR775999
3380STDY6002041,ERS576241,14937_7#33,ERR776000
3380STDY6002047,ERS576247,14937_7#35,ERR776002
3380STDY6002050,ERS576250,14937_7#36,ERR776003
3380STDY6002051,ERS576251,14937_7#37,ERR776004
3380STDY6002052,ERS576252,14937_7#38,ERR776005
3380STDY6002057,ERS576257,14937_7#39,ERR776006
3380STDY6002063,ERS576263,14937_7#41,ERR776008
3380STDY6002065,ERS576265,14937_7#42,ERR776009
3380STDY6002066,ERS576266,14937_7#43,ERR776010
3380STDY6002067,ERS576267,14937_7#44,ERR776011
3380STDY6002069,ERS576269,14937_7#45,ERR776012
3380STDY6002071,ERS576271,14937_7#46,ERR776013
3380STDY6002072,ERS576272,14937_7#47,ERR776014
3380STDY6002073,ERS576273,14937_7#48,ERR776015
3380STDY6002077,ERS576277,14937_7#50,ERR776017
3380STDY6002079,ERS576279,14937_7#51,ERR776018
3380STDY6002082,ERS576282,14937_7#52,ERR776019
3380STDY6002083,ERS576283,14937_7#53,ERR776020
3380STDY6002091,ERS576291,14937_7#56,ERR776023
3380STDY6002092,ERS576292,14937_7#57,ERR776024
3380STDY6001633,ERS575865,14937_7#61,ERR776028
